,accommodates,bathrooms,bedrooms,beds,guests_included,availability_30,number_of_reviews,number_of_reviews_ltm,review_scores_cleanliness,review_scores_location,reviews_per_month,price,has_availability,host_response_rate,instant_bookable,cancellation_policy,security_deposit,host_is_superhost,host_name,host_location,host_neighbourhood,property_type,neighbourhood,host_verifications,host_response_time,room_type,extra_people,zipcode
8134,4,2.0,2.0,1.0,2,28,0,0,10.0,10.0,1.46,73.0,0,0,0,3,33,0,1897,126,14,14,3,130,0,0,35,57
8135,6,2.0,2.0,3.0,4,24,2,0,10.0,9.0,0.13,92.0,0,1,1,3,33,0,701,166,26,1,4,170,1,0,15,51
8136,4,1.0,1.0,3.0,2,7,65,58,10.0,10.0,4.4,80.0,0,1,1,3,33,1,1761,125,36,16,1,130,3,0,8,22
8137,2,1.0,1.0,2.0,1,23,6,3,10.0,9.0,0.37,70.0,0,1,1,0,0,0,814,126,26,1,4,170,3,2,0,43
8138,5,1.0,1.0,2.0,1,0,19,14,8.0,10.0,1.22,78.0,0,1,1,4,0,0,508,126,37,1,13,125,3,0,0,28
8139,2,1.0,1.0,1.0,1,19,44,30,10.0,9.0,2.73,48.0,0,1,1,0,0,1,730,166,26,1,4,170,3,2,0,53
8140,4,1.0,1.0,3.0,2,10,13,11,10.0,10.0,0.84,100.0,0,33,1,3,33,0,609,126,36,1,1,170,3,0,40,22
8141,2,1.0,1.0,1.0,1,10,59,30,9.0,9.0,3.63,65.0,0,1,1,3,0,0,43,166,26,1,4,170,3,0,0,35
8142,4,1.0,1.0,2.0,2,0,57,48,10.0,10.0,4.26,60.0,0,1,0,3,57,1,730,126,38,1,12,124,3,0,1,24
8143,2,1.0,1.0,1.0,1,0,1,0,10.0,10.0,0.06,90.0,0,1,1,3,0,0,79,126,36,1,10,170,3,0,0,22
8144,5,2.0,3.0,4.0,3,0,2,2,10.0,8.0,0.36,56.0,0,1,0,3,0,0,1073,126,26,7,4,170,3,0,15,32
8145,2,1.0,1.0,1.0,1,17,68,51,10.0,10.0,4.4,55.0,0,1,0,3,0,1,1447,126,39,7,13,124,3,2,0,26
8146,4,1.0,1.0,2.0,2,1,34,29,10.0,10.0,2.34,95.0,0,1,1,0,9,1,1962,126,39,1,12,128,3,0,8,24
8147,4,1.0,1.0,2.0,2,20,21,13,9.0,10.0,1.35,85.0,0,1,1,3,0,0,1487,227,38,1,12,170,3,0,0,24
8148,4,1.0,1.0,2.0,2,10,6,2,8.0,10.0,0.37,58.0,0,35,1,4,9,0,1567,125,39,1,11,166,3,0,8,22
8149,2,1.0,1.0,1.0,1,7,18,13,10.0,10.0,1.16,65.0,0,1,1,3,33,0,1324,401,39,1,13,124,3,0,0,26
8150,5,2.0,2.0,5.0,2,8,5,4,10.0,9.0,0.33,120.0,0,1,1,0,0,0,1281,126,31,19,1,81,3,1,15,59
8151,4,1.0,1.0,2.0,2,4,25,18,10.0,10.0,1.6,60.0,0,1,0,0,0,1,1553,138,2,1,0,28,2,0,8,39
8152,2,1.0,1.0,1.0,1,7,11,2,10.0,10.0,0.69,65.0,0,1,1,3,33,0,1324,401,39,1,13,124,3,0,0,26
8153,2,1.0,1.0,1.0,2,2,65,54,10.0,10.0,4.53,70.0,0,1,1,3,9,1,1140,126,30,1,1,128,3,0,1,22
8154,4,1.5,1.0,1.0,2,4,6,3,9.0,10.0,0.39,140.0,0,1,1,4,46,0,1237,126,39,16,1,124,3,0,0,22
8155,2,1.0,0.0,1.0,1,8,96,68,9.0,10.0,6.03,72.0,0,1,1,3,0,0,266,125,32,16,11,35,3,0,1,22
8156,2,1.0,1.0,1.0,1,0,17,6,9.0,10.0,1.09,70.0,0,1,1,0,0,1,975,275,32,1,1,50,3,0,0,24
8157,2,1.0,1.0,1.0,1,3,132,104,9.0,9.0,8.28,35.0,0,38,1,0,0,0,840,166,2,7,0,90,3,2,0,20
8158,2,1.0,1.0,1.0,1,0,12,6,7.0,10.0,0.75,25.0,0,12,0,3,0,0,1826,126,37,1,11,33,1,2,8,22
8159,8,3.0,3.0,6.0,1,30,4,3,10.0,10.0,0.26,256.0,0,1,1,3,46,0,248,178,30,1,1,122,3,0,0,20
8160,6,1.0,2.0,4.0,6,15,36,25,10.0,9.0,2.26,80.0,0,1,1,3,0,1,1300,126,39,1,2,92,3,0,0,26
8161,2,2.0,1.0,1.0,2,0,8,0,10.0,10.0,0.53,100.0,0,1,0,0,0,1,826,126,36,1,1,126,3,0,26,22
